month,route_line,ridership
2024-07,LRT Ampang/Sri Petaling Line,5626609.0
2024-07,LRT Kelana Jaya Line,7559800.0
2024-07,MRT Kajang Line,7471333.0
2024-07,MRT Putrajaya Line,4277136.0
2024-08,KL Monorail,1752025.0
2024-08,KTM,2195503.0
2024-08,LRT Ampang/Sri Petaling Line,5781159.0
2024-08,LRT Kelana Jaya Line,7596795.0
2024-08,MRT Kajang Line,7515992.0
2024-08,MRT Putrajaya Line,4390005.0
2024-09,KL Monorail,1579005.0
2024-09,KTM,2157011.0
2024-09,LRT Ampang/Sri Petaling Line,5365130.0
2024-09,LRT Kelana Jaya Line,6900403.0
2024-09,MRT Kajang Line,7035573.0
2024-09,MRT Putrajaya Line,4046549.0
2024-10,KL Monorail,1735628.0
2024-10,KTM,2243851.0
2024-10,LRT Ampang/Sri Petaling Line,5918334.0
2024-10,LRT Kelana Jaya Line,7724881.0
2024-10,MRT Kajang Line,7720239.0
2024-10,MRT Putrajaya Line,4468723.0
2024-11,KL Monorail,1719825.0
2024-11,KTM,2172946.0
2024-11,LRT Ampang/Sri Petaling Line,5718327.0
2024-11,LRT Kelana Jaya Line,7437276.0
2024-11,MRT Kajang Line,7499351.0
2024-11,MRT Putrajaya Line,4360372.0
2024-12,KL Monorail,1901177.0
2024-12,KTM,2262299.0
2024-12,LRT Ampang/Sri Petaling Line,5780943.0
2024-12,LRT Kelana Jaya Line,7540885.0
2024-12,MRT Kajang Line,7855033.0
2024-12,MRT Putrajaya Line,4471649.0
2025-01,KL Monorail,1812766.0
2025-01,KTM,2179672.0
2025-01,LRT Ampang/Sri Petaling Line,5583947.0
2025-01,LRT Kelana Jaya Line,7199444.0
2025-01,MRT Kajang Line,7474956.0
2025-01,MRT Putrajaya Line,4324708.0
2025-02,KL Monorail,1630089.0
2025-02,KTM,2090753.0
2025-02,LRT Ampang/Sri Petaling Line,5412652.0
2025-02,LRT Kelana Jaya Line,6969645.0
2025-02,MRT Kajang Line,7039197.0
2025-02,MRT Putrajaya Line,4147600.0
2025-03,KL Monorail,1632663.0
2025-03,KTM,1825418.0
2025-03,LRT Ampang/Sri Petaling Line,5755933.0
2025-03,LRT Kelana Jaya Line,7174483.0
2025-03,MRT Kajang Line,7142305.0
2025-03,MRT Putrajaya Line,4305723.0
2025-04,KL Monorail,1659426.0
2025-04,KTM,2010307.0
2025-04,LRT Ampang/Sri Petaling Line,5661642.0
2025-04,LRT Kelana Jaya Line,7285351.0
2025-04,MRT Kajang Line,7389774.0
2025-04,MRT Putrajaya Line,4485310.0
2025-05,KL Monorail,1773505.0
2025-05,KTM,2084939.0
2025-05,LRT Ampang/Sri Petaling Line,6216005.0
2025-05,LRT Kelana Jaya Line,7531075.0
2025-05,MRT Kajang Line,7823203.0
2025-05,MRT Putrajaya Line,4716456.0
2025-06,KL Monorail,1689666.0
2025-06,KTM,2035494.0
2025-06,LRT Ampang/Sri Petaling Line,5710467.0
